VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,       -7.66642092,      -7.844767543,      -7.716001524,      -7.131500744,      -9.682402793,   8.531768167e-06,      0.2207086628,                12,                12,                12,     0.09988056413,       -0.39999998,                 0,                 0,                 0,     -0.4000000255,     0.09988056413,       -0.39999998,                 0,      -4.004782948,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.499754533,      -4.903884636,       -4.46238656,      -3.944191327,      -9.916187952,   1.019580338e-05,      0.2648504185,              14.4,              14.4,              14.4,     0.09414142415,     -0.2542802209,                 0,                 0,                 0,     -0.2541971094,     0.09414142415,     -0.2542802209,                 0,      -2.701044978,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,      -4.720412443,      -4.816520144,      -4.754949432,      -4.164508532,      -10.24145241,   1.222866926e-05,      0.3178204758,             17.28,             17.28,             17.28,     0.08806228986,    -0.06695353292,                 0,                 0,                 0,    -0.06680256972,     0.08806228986,    -0.06695353292,                 0,      -0.760297433,     -0.2206579103,                 0,     -0.2925628719,     -0.2203172048,      -0.325264455
          0,           0,           3,      -4.904878397,       -4.83748925,      -5.374826784,      -4.352893997,      -10.57777655,   1.467990184e-05,      0.3813844453,            20.736,            20.736,            20.736,      0.0819346724,     0.04140196706,                 0,                 0,                 0,     0.04153773043,      0.0819346724,     0.04140196706,                 0,      0.5053046024,     -0.4051238646,    -0.02096910661,     -0.9124402237,     -0.4087026696,     -0.6615885958
          0,           0,           4,      -5.445462766,       -4.91326897,      -5.346178995,      -4.896402273,      -10.70183626,    1.76271491e-05,      0.4576605335,           24.8832,           24.8832,           24.8832,     0.07590858287,      0.0658714208,                 0,                 0,                 0,     0.06596426724,     0.07590858287,      0.0658714208,                 0,      0.8677730279,     -0.9457082333,    -0.09674882582,     -0.8837924342,     -0.9522109465,     -0.7856483096
          0,           0,           5,      -5.586090072,      -4.985560167,      -5.697309556,       -5.03610767,       -10.8467802,   2.116116809e-05,      0.5491880738,          29.85984,          29.85984,          29.85984,     0.06994701085,     0.05716418163,                 0,                 0,                 0,     0.05730638611,     0.06994701085,     0.05716418163,                 0,      0.8172498143,      -1.086335539,     -0.1690400237,      -1.234922995,      -1.091916343,     -0.9305922499
          0,           0,           6,      -5.583658173,      -5.054675488,      -5.655388361,      -5.027341716,      -10.94682449,   2.539647716e-05,      0.6590133447,         35.831808,         35.831808,         35.831808,     0.06411095779,     0.04839939409,                 0,                 0,                 0,     0.04883546524,     0.06411095779,     0.04839939409,                 0,      0.7549316959,       -1.08390364,     -0.2381553437,        -1.1930018,      -1.083150389,      -1.030636541
          0,           0,           7,      -5.686175225,      -5.123922048,      -5.676433827,      -5.126254115,      -11.05482291,   3.047397881e-05,      0.7907944721,        42.9981696,        42.9981696,        42.9981696,     0.05849418804,     0.04488276828,                 0,                 0,                 0,     0.04596112835,     0.05849418804,     0.04488276828,                 0,      0.7673030395,      -1.186420692,     -0.3074019047,      -1.214047266,      -1.182062788,      -1.138634962
          0,           0,           8,      -5.784778351,      -5.194099337,      -5.778326494,      -5.224932406,      -11.14236698,   3.656708831e-05,      0.9489304377,       51.59780352,       51.59780352,       51.59780352,     0.05318246132,      0.0432331179,                 0,                 0,                 0,     0.04509171222,     0.05318246132,      0.0432331179,                 0,      0.8129205913,      -1.285023818,     -0.3775791934,      -1.315939934,      -1.280741079,      -1.226179027
          0,           0,           9,      -5.832188438,      -5.263563214,      -5.876172852,      -5.275158507,      -11.22625111,   4.387798536e-05,       1.138709285,       61.91736422,       61.91736422,       61.91736422,     0.04823241955,     0.04138217599,                 0,                 0,                 0,     0.04351201739,     0.04823241955,     0.04138217599,                 0,      0.8579742914,      -1.332433906,     -0.4470430707,      -1.413786292,       -1.33096718,      -1.310063163
