VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,      -8.112087987,       -8.27967781,      -8.160807569,      -7.577442584,      -9.834567815,   4.234335198e-06,      0.1136835366,                12,                12,                12,      0.2012495763,      -0.399999967,                 0,                 0,                 0,     -0.4000000013,      0.2012495763,      -0.399999967,                 0,       -1.98758166,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.956249076,      -4.979587118,      -4.908893893,      -4.392304727,       -10.1339707,   5.060199256e-06,      0.1364202638,              14.4,              14.4,              14.4,      0.1808077206,     -0.2541329529,                 0,                 0,                 0,     -0.2540911202,      0.1808077206,     -0.2541329529,                 0,      -1.405542596,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,       -5.21416898,      -5.003275659,      -5.199354357,      -4.652672096,      -10.52551637,   6.069381405e-06,      0.1637043041,             17.28,             17.28,             17.28,      0.1614847726,    -0.07170598657,                 0,                 0,                 0,    -0.07163141584,      0.1614847726,    -0.07170598657,                 0,     -0.4440417844,     -0.2579199034,    -0.02368854068,      -0.290460464,     -0.2603673691,     -0.3915456715
          0,           0,           3,      -5.393584281,      -5.080165193,       -5.95932672,      -4.841544118,      -10.89984877,   7.285954691e-06,      0.1964451266,            20.736,            20.736,            20.736,      0.1437817929,      0.0311464107,                 0,                 0,                 0,     0.03121127745,      0.1437817929,      0.0311464107,                 0,      0.2166227732,      -0.437335205,     -0.1005780748,      -1.050432827,     -0.4492393908,     -0.7658780698
          0,           0,           4,      -5.951664971,      -5.182220216,       -5.83464492,      -5.406131958,      -11.06174097,   8.748442126e-06,      0.2357341096,           24.8832,           24.8832,           24.8832,      0.1278829221,     0.05262146655,                 0,                 0,                 0,     0.05265586608,      0.1278829221,     0.05262146655,                 0,      0.4114815776,     -0.9954158951,     -0.2026330976,     -0.9257510271,      -1.013827231,     -0.9277702704
          0,           0,           5,      -5.999966845,      -5.280761126,      -6.143191836,      -5.433130063,      -11.18368444,   1.050202763e-05,      0.2828808917,          29.85984,          29.85984,          29.85984,      0.1136898843,     0.04286670665,                 0,                 0,                 0,     0.04287895988,      0.1136898843,     0.04286670665,                 0,      0.3770494349,      -1.043717769,     -0.3011740074,      -1.234297943,      -1.040825336,      -1.049713739
          0,           0,           6,      -6.023571881,       -5.37438744,      -6.103370044,      -5.455286215,      -11.29730574,   1.260292515e-05,      0.3394571837,         35.831808,         35.831808,         35.831808,      0.1011321471,     0.03308146781,                 0,                 0,                 0,     0.03308870678,      0.1011321471,     0.03308146781,                 0,      0.3271112968,      -1.067322804,      -0.394800322,      -1.194476151,      -1.062981488,      -1.163335046
          0,           0,           7,      -6.163513643,       -5.46255517,      -6.172446839,       -5.59731076,      -11.38857088,   1.512279904e-05,      0.4073479197,        42.9981696,        42.9981696,        42.9981696,     0.09010990435,     0.02776868673,                 0,                 0,                 0,     0.02779725837,     0.09010990435,     0.02776868673,                 0,      0.3081646455,      -1.207264567,     -0.4829680513,      -1.263552946,      -1.205006032,      -1.254600187
          0,           0,           8,      -6.289369584,      -5.544570663,      -6.340596516,      -5.726316282,      -11.47973019,   1.814671844e-05,      0.4888148344,       51.59780352,       51.59780352,       51.59780352,     0.08047304228,     0.02387249987,                 0,                 0,                 0,     0.02400008766,     0.08047304228,     0.02387249987,                 0,      0.2966521359,      -1.333120508,      -0.564983545,      -1.431702623,      -1.334011555,      -1.345759488
          0,           0,           9,      -6.358554684,      -5.621716102,      -6.475029614,      -5.796689538,      -11.56756346,   2.177546774e-05,      0.5865710702,       61.91736422,       61.91736422,       61.91736422,     0.07204467578,     0.02046338366,                 0,                 0,                 0,     0.02087954247,     0.07204467578,     0.02046338366,                 0,      0.2840374176,      -1.402305608,     -0.6421289832,      -1.566135721,      -1.404384811,      -1.433592762
          0,           0,          10,        -6.4197097,      -5.695622988,      -6.563272774,      -5.859354756,      -11.64618986,   2.612986218e-05,      0.7038735411,       74.30083707,       74.30083707,       74.30083707,      0.0646496518,     0.01813173005,                 0,                 0,                 0,     0.01911034942,      0.0646496518,     0.01813173005,                 0,      0.2804613721,      -1.463460623,     -0.7160358693,      -1.654378881,      -1.467050029,       -1.51221916
