VARIABLES = \
"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,   "relrms[Rho]"  ,  "relrms[RhoU]"  ,  "relrms[RhoV]"  ,  "relrms[RhoE]"  ,   "relrms[nu]"   
          0,           0,           0,      -8.112087987,       -8.27967781,      -8.160807569,      -7.577442584,      -9.834567815,   4.234335198e-06,      0.1136835366,                12,                12,                12,      0.2012495763,      -0.399999967,                 0,                 0,                 0,     -0.4000000013,      0.2012495763,      -0.399999967,                 0,       -1.98758166,                 0,                 0,                 0,                 0,                 0
          0,           0,           1,      -4.956249076,      -4.979587118,      -4.908893893,      -4.392304727,       -10.1339707,   5.060199256e-06,      0.1364202638,              14.4,              14.4,              14.4,      0.1808077206,     -0.2541329529,                 0,                 0,                 0,     -0.2540911202,      0.1808077206,     -0.2541329529,                 0,      -1.405542596,                 0,                 0,                 0,                 0,                 0
          0,           0,           2,       -5.21416898,      -5.003275659,      -5.199354357,      -4.652672096,      -10.52551637,   6.069381405e-06,      0.1637043041,             17.28,             17.28,             17.28,      0.1614847726,    -0.07170598657,                 0,                 0,                 0,    -0.07163141584,      0.1614847726,    -0.07170598657,                 0,     -0.4440417844,     -0.2579199034,    -0.02368854068,      -0.290460464,     -0.2603673691,     -0.3915456716
          0,           0,           3,      -5.393584281,      -5.080165193,       -5.95932672,      -4.841544118,      -10.89984877,   7.285954691e-06,      0.1964451266,            20.736,            20.736,            20.736,      0.1437817929,     0.03114641077,                 0,                 0,                 0,     0.03121127746,      0.1437817929,     0.03114641077,                 0,      0.2166227736,      -0.437335205,     -0.1005780748,      -1.050432827,     -0.4492393908,     -0.7658780698
          0,           0,           4,      -5.951664971,      -5.182220216,       -5.83464492,      -5.406131958,      -11.06174097,   8.748442126e-06,      0.2357341096,           24.8832,           24.8832,           24.8832,      0.1278829221,      0.0526214678,                 0,                 0,                 0,     0.05265586638,      0.1278829221,      0.0526214678,                 0,      0.4114815873,     -0.9954158951,     -0.2026330976,      -0.925751027,      -1.013827231,     -0.9277702704
          0,           0,           5,      -5.999966844,      -5.280761126,      -6.143191836,      -5.433130063,      -11.18368444,   1.050202763e-05,      0.2828808917,          29.85984,          29.85984,          29.85984,      0.1136898843,     0.04286671327,                 0,                 0,                 0,      0.0428789615,      0.1136898843,     0.04286671327,                 0,      0.3770494932,      -1.043717768,     -0.3011740074,      -1.234297943,      -1.040825336,      -1.049713739
          0,           0,           6,      -6.023571879,       -5.37438744,      -6.103370046,      -5.455286214,      -11.29730574,   1.260292515e-05,      0.3394571837,         35.831808,         35.831808,         35.831808,      0.1011321473,     0.03308148055,                 0,                 0,                 0,     0.03308870958,      0.1011321473,     0.03308148055,                 0,      0.3271114224,      -1.067322803,     -0.3948003217,      -1.194476153,      -1.062981487,      -1.163335046
          0,           0,           7,      -6.163513641,      -5.462555168,      -6.172446837,      -5.597310757,      -11.38857089,   1.512279904e-05,      0.4073479197,        42.9981696,        42.9981696,        42.9981696,     0.09010990474,     0.02776869697,                 0,                 0,                 0,     0.02779725629,     0.09010990474,     0.02776869697,                 0,      0.3081647578,      -1.207264565,     -0.4829680499,      -1.263552944,       -1.20500603,      -1.254600188
          0,           0,           8,      -6.289369601,      -5.544570661,      -6.340596413,      -5.726316301,      -11.47973018,   1.814671844e-05,      0.4888148344,       51.59780352,       51.59780352,       51.59780352,      0.0804730404,     0.02387246039,                 0,                 0,                 0,     0.02400008603,      0.0804730404,     0.02387246039,                 0,      0.2966516522,      -1.333120525,     -0.5649835424,       -1.43170252,      -1.334011574,      -1.345759485
          0,           0,           9,      -6.358554733,      -5.621716121,      -6.475030405,      -5.796689574,      -11.56756345,   2.177546774e-05,      0.5865710706,       61.91736422,       61.91736422,       61.91736422,     0.07204467241,      0.0204632776,                 0,                 0,                 0,     0.02087960757,     0.07204467241,      0.0204632776,                 0,      0.2840359587,      -1.402305656,     -0.6421290022,      -1.566136512,      -1.404384847,      -1.433592748
          0,           0,          10,      -6.419709977,      -5.695623013,      -6.563277005,      -5.859354996,      -11.64618983,   2.612986221e-05,      0.7038735424,       74.30083707,       74.30083707,       74.30083707,     0.06464964984,     0.01813147642,                 0,                 0,                 0,     0.01911051457,     0.06464964984,     0.01813147642,                 0,      0.2804574574,      -1.463460901,     -0.7160358946,      -1.654383112,      -1.467050269,      -1.512219134
